"item_identifier","committee_member"
"thesis_001","Leung, Anthony K. L.|Matunis, Michael J.|Dinglasan, Rhoel R.|Goodlett, David"
"thesis_002","Leek, Jeffrey T.|Hansen, Kasper D.|Battle, Alexis|Jaffe, Andrew"
"thesis_003","West, Keith P., Jr.|Talegawkar, Sameera|Fanzo, Jessica C."
"thesis_004","Kass, Nancy E.|Saloner, Brendan|Bodurtha, Joann N.|Taylor, Holly A."
"thesis_005","Kosek, Margaret  N|Dowdy, David W|Sack, David A|Moulton, Lawrence H"
"thesis_006","Wan, Fengyi|Culotta, Valeria C|Sullivan, David  J"
"thesis_007","Celenza, Christopher S.|McLucas, John|McGarry, Jean"
"thesis_008","Khan, Naveeda|Guyer, Jane I.|Connolly, William E.|Kelly, John D."
"thesis_009","Hanchard, Michael|Chung, Erin|Tsai, Kellee S.|Vitalis, Robert"
"thesis_010","Obarrio, Juan M.|Paquette, Gabriel|Gonzalez, Eduardo|Egginton, William"
"thesis_011","Ferry, John M."
"thesis_012","Kargon, Robert H.|Bennett, Pamela R.|Hao, Lingxin|Falk, Michael L."
"thesis_013","Hazen, Robert M.|Passey, Benjamin H.|Ferry, John M."
"thesis_014","Karlin, Kenneth D.|Toscano, John P."
"thesis_015","Reich, Daniel H.|Stebe, Kathleen J.|Bevan, Michael A.|Robbins, Mark O."
"thesis_016","Sogge, Christopher D.|Lindblad, Hans|Dodson, Benjamin|Tchernyshyov, Oleg V."
"thesis_017","Berger, James M.|McMacken, Roger"
"thesis_018","Spruck, Joel|Sogge, Christopher D.|Dagdigian, Paul J.|Turner, Ari"
"thesis_019","David, Steven R.|Deudney, Daniel H.|Allan, Bentley B.|Moss, Kenneth B."
"thesis_020","Zappulla, David C.|Gall, Joseph G."
"thesis_021","Chen, Xin|Drummond-Barbosa, Daniela|Van Doren, Mark"
"thesis_022","Levin, Naomi|Hinnov, Linda"
"thesis_023","Pederson, Mark R.|Toscano, John P."
"thesis_024","Knight, Franklin|Paquette, Gabriel|Marshall, John W.|Castro-Klarén, Sara"
"thesis_025","Strowick, Elisabeth|Krauss, Andrea B.|Lisi, Leonardo|Egginton, William"
"thesis_026","Falzone, Christopher|Toscano, John P."
"thesis_027","Kuruvilla, Rejji|Kelley, Matthew|Hoffman, Matthew|Chitnis, Ajay"
"thesis_028","Pandian, Anand|Das, Veena|Caton, Steven|Ryan Calder"
"thesis_029","Jabko, Nicolas|Keck, Margaret E.|Chung, Erin|Hindmarch-Watson, Katie|Shepard, Todd"
"thesis_030","Miller, Andrew H.|Salter, Mary Jo|Tobias, Rochelle|Eakin Moss, Anne"
"thesis_031","Hilser, Vincent J|Green, Rachel|Roberts, Elijah"
"thesis_032","Gritsan, Andrei|Blumenfeld, Barry J.|Schlaufman, Kevin C.|Kitchloo, Nitu"
"thesis_033","Culbert, Jennifer|Bennett, Jane|Connolly, William E.|Wegenstein, Bernadette"
"thesis_034","Gritsan, Andrei|Schlaufman, Kevin C.|Lu, Fei|Shpitser, Ilya"
"thesis_035","Bernstein, Jacob|Kazhdan, Misha|Sogge, Christopher|Spruck, Joel"
"thesis_036","Kramnick, Jonathan|Favret, Mary|Achinstein, Sharon"
"thesis_037","Toscano, John|Townsend, Craig"
"thesis_038","Bah, Ibrahima|Basu, Amitabh|Kitchloo, Nitu|Li, Yi"
"thesis_039","Kamionkowski, Marc|Schlaufman, Kevin|Sabbi, Elena|Robberto, Massimo"
