item_identifier,committee_member
thesis_001,"Leung, Anthony K. L."
thesis_001,"Matunis, Michael J."
thesis_001,"Dinglasan, Rhoel R."
thesis_001,"Goodlett, David"
thesis_002,"Leek, Jeffrey T."
thesis_002,"Hansen, Kasper D."
thesis_002,"Battle, Alexis"
thesis_002,"Jaffe, Andrew"
thesis_003,"West, Keith P., Jr."
thesis_003,"Talegawkar, Sameera"
thesis_003,"Fanzo, Jessica C."
thesis_004,"Kass, Nancy E."
thesis_004,"Saloner, Brendan"
thesis_004,"Bodurtha, Joann N."
thesis_004,"Taylor, Holly A."
thesis_005,"Kosek, Margaret  N"
thesis_005,"Dowdy, David W"
thesis_005,"Sack, David A"
thesis_005,"Moulton, Lawrence H"
thesis_006,"Wan, Fengyi"
thesis_006,"Culotta, Valeria C"
thesis_006,"Sullivan, David  J"
thesis_007,"Celenza, Christopher S."
thesis_007,"McLucas, John"
thesis_007,"McGarry, Jean"
thesis_008,"Khan, Naveeda"
thesis_008,"Guyer, Jane I."
thesis_008,"Connolly, William E."
thesis_008,"Kelly, John D."
thesis_009,"Hanchard, Michael"
thesis_009,"Chung, Erin"
thesis_009,"Tsai, Kellee S."
thesis_009,"Vitalis, Robert"
thesis_010,"Obarrio, Juan M."
thesis_010,"Paquette, Gabriel"
thesis_010,"Gonzalez, Eduardo"
thesis_010,"Egginton, William"
thesis_011,"Ferry, John M."
thesis_012,"Kargon, Robert H."
thesis_012,"Bennett, Pamela R."
thesis_012,"Hao, Lingxin"
thesis_012,"Falk, Michael L."
thesis_013,"Hazen, Robert M."
thesis_013,"Passey, Benjamin H."
thesis_013,"Ferry, John M."
thesis_014,"Karlin, Kenneth D."
thesis_014,"Toscano, John P."
thesis_015,"Reich, Daniel H."
thesis_015,"Stebe, Kathleen J."
thesis_015,"Bevan, Michael A."
thesis_015,"Robbins, Mark O."
thesis_016,"Sogge, Christopher D."
thesis_016,"Lindblad, Hans"
thesis_016,"Dodson, Benjamin"
thesis_016,"Tchernyshyov, Oleg V."
thesis_017,"Berger, James M."
thesis_017,"McMacken, Roger"
thesis_018,"Spruck, Joel"
thesis_018,"Sogge, Christopher D."
thesis_018,"Dagdigian, Paul J."
thesis_018,"Turner, Ari"
thesis_019,"David, Steven R."
thesis_019,"Deudney, Daniel H."
thesis_019,"Allan, Bentley B."
thesis_019,"Moss, Kenneth B."
thesis_020,"Zappulla, David C."
thesis_020,"Gall, Joseph G."
thesis_021,"Chen, Xin"
thesis_021,"Drummond-Barbosa, Daniela"
thesis_021,"Van Doren, Mark"
thesis_022,"Levin, Naomi"
thesis_022,"Hinnov, Linda"
thesis_023,"Pederson, Mark R."
thesis_023,"Toscano, John P."
thesis_024,"Knight, Franklin"
thesis_024,"Paquette, Gabriel"
thesis_024,"Marshall, John W."
thesis_024,"Castro-Klarén, Sara"
thesis_025,"Strowick, Elisabeth"
thesis_025,"Krauss, Andrea B."
thesis_025,"Lisi, Leonardo"
thesis_025,"Egginton, William"
thesis_026,"Falzone, Christopher"
thesis_026,"Toscano, John P."
thesis_027,"Kuruvilla, Rejji"
thesis_027,"Kelley, Matthew"
thesis_027,"Hoffman, Matthew"
thesis_027,"Chitnis, Ajay"
thesis_028,"Pandian, Anand"
thesis_028,"Das, Veena"
thesis_028,"Caton, Steven"
thesis_028,Ryan Calder
thesis_029,"Jabko, Nicolas"
thesis_029,"Keck, Margaret E."
thesis_029,"Chung, Erin"
thesis_029,"Hindmarch-Watson, Katie"
thesis_029,"Shepard, Todd"
thesis_030,"Miller, Andrew H."
thesis_030,"Salter, Mary Jo"
thesis_030,"Tobias, Rochelle"
thesis_030,"Eakin Moss, Anne"
thesis_031,"Hilser, Vincent J"
thesis_031,"Green, Rachel"
thesis_031,"Roberts, Elijah"
thesis_032,"Gritsan, Andrei"
thesis_032,"Blumenfeld, Barry J."
thesis_032,"Schlaufman, Kevin C."
thesis_032,"Kitchloo, Nitu"
thesis_033,"Culbert, Jennifer"
thesis_033,"Bennett, Jane"
thesis_033,"Connolly, William E."
thesis_033,"Wegenstein, Bernadette"
thesis_034,"Gritsan, Andrei"
thesis_034,"Schlaufman, Kevin C."
thesis_034,"Lu, Fei"
thesis_034,"Shpitser, Ilya"
thesis_035,"Bernstein, Jacob"
thesis_035,"Kazhdan, Misha"
thesis_035,"Sogge, Christopher"
thesis_035,"Spruck, Joel"
thesis_036,"Kramnick, Jonathan"
thesis_036,"Favret, Mary"
thesis_036,"Achinstein, Sharon"
thesis_037,"Toscano, John"
thesis_037,"Townsend, Craig"
thesis_038,"Bah, Ibrahima"
thesis_038,"Basu, Amitabh"
thesis_038,"Kitchloo, Nitu"
thesis_038,"Li, Yi"
thesis_039,"Kamionkowski, Marc"
thesis_039,"Schlaufman, Kevin"
thesis_039,"Sabbi, Elena"
thesis_039,"Robberto, Massimo"
thesis_040,"Bok, Hilary"
thesis_040,"Moyar, Dean"
thesis_040,"Lance, Mark"
thesis_040,"Egginton, William"
thesis_041,"Hickman, Jared"
thesis_041,"Walters, Ronald G"
thesis_041,"Chambers, Samuel"
thesis_041,"Schilling, Derek"
thesis_042,"Pahl, Katrin"
thesis_042,"Tobias, Rochelle"
thesis_042,"Gosetti-Ferencei, Jennifer"
thesis_042,"Wegenstein, Bernadette"
thesis_043,"Li, Yi"
thesis_043,"Drichko, Natalia"
thesis_043,"Foster, Mark A"
thesis_043,"Thon, Susanna  M"
thesis_044,"Kuchibhotla, Kishore V"
thesis_044,"Honey, Christopher J"
thesis_044,"Schoenbaum, Geoffrey"
thesis_044,"Hussain Shuler, Marshall G"
thesis_045,"Wilson, W. Stephen"
thesis_045,"Kitchloo, Nitya"
thesis_045,"Kamionkowski, Marc"
thesis_045,"Rynasiewicz, Robert"
thesis_046,"Van Doren, Mark"
thesis_046,"Johnston, Robert"
thesis_046,"Berg, Celeste"
thesis_047,"Mysore, Shreesh P"
thesis_047,"Moss, Cynthia"
thesis_047,"Kuchibhotla, Kishore"
thesis_047,"Nielsen, Kristina"
thesis_048,"Silverstone, Harris J"
thesis_048,"Bragg, Art"
thesis_049,"Angelini, Alessandro"
thesis_049,"Faleschini Lerner , Giovanna"
thesis_049,"Bedran, Marina"
thesis_050,"Gritsan, Andrei"
thesis_050,"Leheny, Robert"
thesis_050,"Basu, Amitabh"
thesis_050,"Bernstein, Jacob"
thesis_051,"Luznik, Leo"
thesis_051,"Jaffee, Elizabeth"
thesis_051,"Cox, Andrea"
thesis_051,"Zavala, Fidel"
thesis_052,"Huganir, Richard L."
thesis_052,"Seydoux, Geraldine"
thesis_052,"Bergles, Dwight E."
thesis_052,"Meffert, Mollie K."
thesis_053,"Blankson, Joel N."
thesis_053,"Hendrix, Craig W."
thesis_053,"Ray, Stuart C."
thesis_054,"Sears, Cynthia L."
thesis_054,"Housseau, Franck"
thesis_054,"Ostrand-Rosenberg, Suzanne"
thesis_054,"Gabrilovich, Dmitry"
thesis_055,"Trayanova, Natalia A"
thesis_055,"Herzka, Daniel A"
thesis_056,"Sylvester, Adam"
thesis_056,"DeLeon, Valerie B."
thesis_056,"Ward, Carol"
thesis_056,"DeSilva, Jeremy"
thesis_057,"Meffert, Mollie"
thesis_057,"Worley, Paul"
thesis_057,"Blackshaw, Seth"
thesis_057,"Margolis, Seth"
thesis_058,"Smith, Kirby D."
thesis_058,"Colantuoni, Carlo"
thesis_058,"Fertig, Elana"
thesis_058,"McKay, Ronald"
thesis_058,"Hoeppner, Daniel"
thesis_058,"Chenoweth, Josh"
thesis_059,"Worley, Paul F."
thesis_059,"Lloyd, Thomas (Tom)"
thesis_060,"Song, Hongjun"
thesis_060,"Ming, Guo-Li"
thesis_060,"Bjornsson, Hans T."
thesis_060,"Valle, David Lee"
thesis_061,"Vidal, Rene"
thesis_061,"Younes, Laurent"
thesis_062,
thesis_063,"Levis, Mark"
thesis_063,"Ghiaur, Gabriel"
thesis_063,"Isaacs, John"
thesis_064,"Wong, Guang W"
thesis_064,"Wolfgang, Michael J"
thesis_064,"Kralli, Anastasia"
thesis_064,"Pluznick, Jennifer L"
thesis_065,"Michaelis, Susan"
thesis_065,"Espenshade, Peter"
thesis_065,"Urban, Sinisa"
thesis_066,"du Lac, Sascha"
thesis_066,"Cohen, Jeremiah Y"
thesis_066,"Lauer, Amanda M"
thesis_066,"Glowatzki, Elisabeth B"
thesis_067,"Nielsen, Kristina J"
thesis_067,"O'Connor, Daniel H"
thesis_067,"Brown, Solange P"
thesis_067,"Mysore, Shreesh P"
thesis_068,"Holland, Andrew"
thesis_068,"Taylor, James"
thesis_068,"Reddy, Karen L"
thesis_068,"Goff, Loyal A"
thesis_068,"Valle, David"
thesis_069,"Knierim, James J"
thesis_069,"Mysore, Shreesh"
thesis_069,"Zhang, Kechen"
thesis_070,"Farley, Jason E"
thesis_070,"Sulkowski, Mark S"
thesis_070,"Han, Hae-Ra"
thesis_070,"Budhathoki, Chakra"
thesis_071,"Han, Hae-Ra"
thesis_071,"Gallo, Joseph"
thesis_071,"Labrique, Alain  B."
thesis_071,"Budhathoki, Chakra"
thesis_072,"Priebe, Carey E."
thesis_072,"Athreya, Avanti"
thesis_072,"Naiman, Daniel Q."
thesis_073,"Bottomley, Paul A."
thesis_073,"Zhou, Jinyuan"
thesis_073,"Tran, Trac Duy"
thesis_073,"Prince, Jerry L."
thesis_074,"Vidal, Rene"
thesis_074,"Kobilarov, Marin"
thesis_075,"Smith, Scott F."
thesis_075,"Christensen, Henrik"
thesis_076,"Boctor, Emad M."
thesis_076,"Hager, Gregory D."
thesis_076,"Kazanzides, Peter"
thesis_077,"Konstantopoulos, Konstantinos"
thesis_077,"Cui, Honggang"
thesis_077,"Li, Rong"
thesis_077,"Sun, Sean X."
thesis_078,"Pandian, Anand"
thesis_078,"Schoenberger, Erica"
thesis_078,"Boland, John J."
thesis_079,"Boctor, Emad M."
thesis_079,"Shiffman, Bernard"
thesis_079,"Whitcomb, Louis L."
thesis_080,"Siewerdsen, Jeffrey H."
thesis_080,"Taylor, Russell H."
thesis_080,"Wolinsky, Jean-Paul"
thesis_080,"Kazanzides, Peter"
thesis_081,"Kazanzides, Peter"
thesis_081,"Leonard, Simon"
thesis_082,"Vidal, Rene"
thesis_082,"Khudanpur, Sanjeev P."
thesis_082,"Tran, Trac Duy"
thesis_082,"Yuille, Alan L."
thesis_083,"Szalay, Alexander S."
thesis_083,"Priebe, Carey E."
thesis_083,"Basu, Amitabh"
thesis_083,"Li, Xin"
thesis_084,"Taylor, Russell H."
thesis_084,"Whitcomb, Louis L."
thesis_085,"Meneveau, Charles V."
thesis_085,"Zaki, Tamer A."
thesis_086,"Basu, Amitabh"
thesis_086,"Curtis, Frank E"
thesis_086,"Robinson, Daniel P"
thesis_087,"Arora, Raman"
thesis_087,"Yarowsky, David"
thesis_087,"Hovy, Dirk"
thesis_087,"Arora, Raman"
thesis_087,"Yarowsky, David"
thesis_087,"Hovy, Dirk"
thesis_088,"Etienne-Cummings, Ralph"
thesis_088,"Sarma, Sridevi"
thesis_088,"Pouliquen, Philippe"
thesis_089,"Scharfstein, Daniel"
thesis_089,"Tchetgen Tchetgen, Eric"
thesis_089,"Ogburn, Elizabeth"
