"item_identifier","year","title","degree_grantor"
"thesis_001","2015","Characterization of the ADP-ribosylated proteome by mass spectrometry","Johns Hopkins University. Bloomberg School of Public Health"
"thesis_002","2016","Annotation-Agnostic Differential Expression and Binding Analyses","Johns Hopkins University. Bloomberg School of Public Health"
"thesis_003","2016","Child diet over three seasons in rural Zambia: Assessments of usual nutrient intake adequacy, components of intake variation and dietary diversity score performance","Johns Hopkins University. Bloomberg School of Public Health"
"thesis_004","2017","Exploring Parental Involvement in Rare Disease Research and Advocacy","Johns Hopkins University. Bloomberg School of Public Health"
"thesis_005","2018","Gut Microbes, Enteropathy and Child Growth: The Role of the Microbiota in the Cycle of Diarrhea and Undernutrition in Peru","Johns Hopkins University. Bloomberg School of Public Health"
"thesis_006","2020","Characterizing Transition Metal Homeostasis at the Host-Pathogen Interface","Johns Hopkins University. Bloomberg School of Public Health"
"thesis_007","2013","Sole e Ombra: A Study of Sixteenth-Century Humourism and Grotesque Through the Works of Antonfrancesco Grazzini, l’Accademia degli Humidi, and l’Accademia degli Infiammati","Johns Hopkins University. Krieger School of Arts and Sciences"
"thesis_008","2013","Buddhist Nationalism and Christian Evangelism: Rearticulations of Enmity and Belonging in Postwar Sri Lanka","Johns Hopkins University. Krieger School of Arts and Sciences"
"thesis_009","2013","Unsettling State: Non-Citizens, Citizenship and State Power in the United Arab Emirates","Johns Hopkins University. Krieger School of Arts and Sciences"
"thesis_010","2014","Playing Guns: Avant-Garde Aesthetics and Revolutionary Violence","Johns Hopkins University. Krieger School of Arts and Sciences"
"thesis_011","2014","Carbonate clumped isotope geochemistry of marine mollusk and brachiopod shells and its application to deep-time paleoclimatology","Johns Hopkins University. Krieger School of Arts and Sciences"
"thesis_012","2014","Changing Course: The Influence of Social Position and Social Networks On College Faculty’s Adoption of Educational Innovations","Johns Hopkins University. Krieger School of Arts and Sciences"
"thesis_013","2014","Attachment, Selection, and Transformation of Prebiotic Molecules on Brucite [MgOH2] and the Implications for Chemical Evolution at Hydrothermal Systems","Johns Hopkins University. Krieger School of Arts and Sciences"
"thesis_014","2014","Mononuclear Non-Heme Iron(II) Models of Metalloenzymes with Mixed N/S Donors: Small Molecule Activation","Johns Hopkins University. Krieger School of Arts and Sciences"
"thesis_015","2014","Interfacial Microrheology of Biological Films","Johns Hopkins University. Krieger School of Arts and Sciences"
"thesis_016","2015","Asymptotic Behavior of Spectrums for Elliptic Pseudo-differential Operators","Johns Hopkins University. Krieger School of Arts and Sciences"
"thesis_017","2015","DNA Supercoil Unwinding by Variola Virus Type IB Topoisomerase is Accelerated by Superhelical Density and Hindered by Enzyme-DNA Interactions","Johns Hopkins University. Krieger School of Arts and Sciences"
"thesis_018","2015","Hole Probabilities of SU(m+1) Gaussian Random Polynomials","Johns Hopkins University. Krieger School of Arts and Sciences"
"thesis_019","2015","Great Powers and the Patterns of Internal War: Interests, Ideology, and Sovereignty","Johns Hopkins University. Krieger School of Arts and Sciences"
"thesis_020","2015","Characterization of retroviral RNA stability elements","Johns Hopkins University. Krieger School of Arts and Sciences"
"thesis_021","2015","A Genomic and Genetic Analysis of Doublesex Targets and Function in Drosophila Sexual Dimorphism","Johns Hopkins University. Krieger School of Arts and Sciences"
