item_identifier,2013,2014,2015,2016,2017,2018,2019,2020,2021
thesis_001,,,Characterization of the ADP-ribosylated proteome by mass spectrometry,,,,,,
thesis_002,,,,Annotation-Agnostic Differential Expression and Binding Analyses,,,,,
thesis_003,,,,"Child diet over three seasons in rural Zambia: Assessments of usual nutrient intake adequacy, components of intake variation and dietary diversity score performance",,,,,
thesis_004,,,,,Exploring Parental Involvement in Rare Disease Research and Advocacy,,,,
thesis_005,,,,,,"Gut Microbes, Enteropathy and Child Growth: The Role of the Microbiota in the Cycle of Diarrhea and Undernutrition in Peru",,,
thesis_006,,,,,,,,Characterizing Transition Metal Homeostasis at the Host-Pathogen Interface,
thesis_007,"Sole e Ombra: A Study of Sixteenth-Century Humourism and Grotesque Through the Works of Antonfrancesco Grazzini, l’Accademia degli Humidi, and l’Accademia degli Infiammati",,,,,,,,
thesis_008,Buddhist Nationalism and Christian Evangelism: Rearticulations of Enmity and Belonging in Postwar Sri Lanka,,,,,,,,
thesis_009,"Unsettling State: Non-Citizens, Citizenship and State Power in the United Arab Emirates",,,,,,,,
thesis_010,,Playing Guns: Avant-Garde Aesthetics and Revolutionary Violence,,,,,,,
thesis_011,,Carbonate clumped isotope geochemistry of marine mollusk and brachiopod shells and its application to deep-time paleoclimatology,,,,,,,
thesis_012,,Changing Course: The Influence of Social Position and Social Networks On College Faculty’s Adoption of Educational Innovations,,,,,,,
thesis_013,,"Attachment, Selection, and Transformation of Prebiotic Molecules on Brucite [MgOH2] and the Implications for Chemical Evolution at Hydrothermal Systems",,,,,,,
thesis_014,,Mononuclear Non-Heme Iron(II) Models of Metalloenzymes with Mixed N/S Donors: Small Molecule Activation,,,,,,,
thesis_015,,Interfacial Microrheology of Biological Films,,,,,,,
thesis_016,,,Asymptotic Behavior of Spectrums for Elliptic Pseudo-differential Operators,,,,,,
thesis_017,,,DNA Supercoil Unwinding by Variola Virus Type IB Topoisomerase is Accelerated by Superhelical Density and Hindered by Enzyme-DNA Interactions,,,,,,
thesis_018,,,Hole Probabilities of SU(m+1) Gaussian Random Polynomials,,,,,,
thesis_019,,,"Great Powers and the Patterns of Internal War: Interests, Ideology, and Sovereignty",,,,,,
thesis_020,,,Characterization of retroviral RNA stability elements,,,,,,
thesis_021,,,A Genomic and Genetic Analysis of Doublesex Targets and Function in Drosophila Sexual Dimorphism,,,,,,
thesis_022,,,"The Second Wave of Earthworm Invasion: Interspecific Interactions, Soil Microbial Communities, and Carbon Cycling",,,,,,
thesis_023,,,"Discovering the Electronic Properties of Metal Hydrides, Metal Oxides and Organic Molecules Using Anion Photoelectron Spectroscopy",,,,,,
thesis_024,,,The Legacy of Brazil’s Pedro I: Memory and Politics during the Empire and Republic,,,,,,
thesis_025,,,,"Signs of Life: Form, Life, and the Materiality of Writing around 1800 (Georg Christoph Lichtenberg - Jean Paul - Goethe)",,,,,
thesis_026,,,,A New Dimension in Fluorine Chemistry: Fluorine in Close Interactions,,,,,
thesis_027,,,,The role of heparan sulfate proteoglycans during development of the zebrafish lateral line,,,,,
thesis_028,,,,Ethics of Activity: South Asian Shia Working Life in Dubai,,,,,
thesis_029,,,,,From Free Movement to Migration Crisis: Events and Ideas in Europe,,,,
thesis_030,,,,,Reading Between the Minds: Intersubjectivity and the Emergence of Modernism from Robert Browning to Henry James,,,,
thesis_031,,,,,"Synonymous codons affect polysome spacing, protein production and protein folding stress: studies of bacterial translation using ribosome profiling",,,,
thesis_032,,,,,Higgs Boson Properties and Search for Additional Resonances,,,,
thesis_033,,,,,The Matter of Law: Reconsidering the Natural Law Tradition,,,,
thesis_034,,,,,,Measurement of t-tbar Forward-backward Asymmetry in Large Hadron Collider,,,
thesis_035,,,,,,Some properties of closed hypersurfaces of small entropy and the topology of hypersurfaces through singularities of mean curvature flow,,,
thesis_036,,,,,,Trade Secrets: Georgic Poetry and the Rise of Finance,,,
thesis_037,,,,,,Experimental and Theoretical Explorations of Anion Photoelectron Spectroscopy and Photoionization,,,
thesis_038,,,,,,,On Black Hole Information Paradox in AdS3/CFT2,,
thesis_039,,,,,,,The Mira Distance Scale,,
thesis_040,,,,,,,Metaethics for Neo-Pragmatists: A Pragmatic Account of Linguistic Meaning for Moral Vocabulary,,
thesis_041,,,,,,,,"On Occasion: American Poetry at the Margins of the Wage, 1865-1973",
thesis_042,,,,,,,,Broken Bodies at Play: Physical Comedy and Ironic Bodies in Heinrich von Kleist's Dramas,
thesis_043,,,,,,,,THz and microwave spectroscopy on strongly correlated conductors,
thesis_044,,,,,,,,,Setting the Occasion for Reward-seeking in Brain and Behavior
thesis_045,,,,,,,,,Goodwillie Towers of Infinity Categories and Desuspension
thesis_046,,,,,,,,,Tudor5-like localizes to a novel germline cytoplasmic RNA granule important for post-transcriptional gene regulation in Drosophila melanogaster
thesis_047,,,,,,,,,Functional Properties of Inhibitory Neurons in the Avian Midbrain Attention Network
thesis_048,,,,,,,,,"Anion Photoelectron Spectroscopic Studies: Antioxidants, Actinide Clusters, and Molecular Activation"
thesis_049,,,,,,,,,World Not Lost: Rural Southern Populations in 20th Century Italian Literature and Cinema
thesis_050,,,,,,,,,The 2D Alphabet background modeling method and its use in the search for an excited bottom quark
thesis_051,,Unique Phenotypic and Functional Properties of a Cancer Vaccine Based on Attenuated Listeria Monocytogenes,,,,,,,
thesis_052,,Regulated microRNA biogenesis generates specificity in pro-growth neuronal gene expression,,,,,,,
thesis_053,,,"Residual Viremia, Cure Strategies, and Tissue Reservoirs in Human Immunodeficiency Virus Type 1 Infection",,,,,,
thesis_054,,,,The myeloid immune signature of Enterotoxigenic Bacteroides fragilis-induced murine colon tumorigenesis,,,,,
