item_identifier,advisor,creator,date_issued,title,degree_discipline,degree_grantor,degree_department,committee_member
001,"Wolberger, Cynthia","Daniels, Casey M.",2015-07-31,Characterization of the ADP-ribosylated proteome by mass spectrometry,Biochemistry,Johns Hopkins University. Bloomberg School of Public Health,Biochemistry and Molecular Biology,"Leung, Anthony K. L.|Matunis, Michael J.|Dinglasan, Rhoel R.|Goodlett, David"
002,"Fallin, Margaret Daniele","Collado Torres, Leonardo",2016-07-25,Annotation-Agnostic Differential Expression and Binding Analyses,Biostatistics,Johns Hopkins University. Bloomberg School of Public Health,Biostatistics,"Leek, Jeffrey T.|Hansen, Kasper D.|Battle, Alexis|Jaffe, Andrew"
003,"Neelon, Sara E. Benjamin","Caswell, Bess L. L.",2016-09-07,"Child diet over three seasons in rural Zambia: Assessments of usual nutrient intake adequacy, components of intake variation and dietary diversity score performance",Human Nutrition,Johns Hopkins University. Bloomberg School of Public Health,International Health,"West, Keith P., Jr.|Talegawkar, Sameera|Fanzo, Jessica C."
004,"Roter, Debra L.","Jamal, Leila",2017-02-02,Exploring Parental Involvement in Rare Disease Research and Advocacy,Bioethics,Johns Hopkins University. Bloomberg School of Public Health,Health Policy and Management,"Kass, Nancy E.|Saloner, Brendan|Bodurtha, Joann N.|Taylor, Holly A."
005,"Sears, Cynthia L","Rouhani, Saba",2018-05-23,"Gut Microbes, Enteropathy and Child Growth: The Role of the Microbiota in the Cycle of Diarrhea and Undernutrition in Peru",Global Disease Epidemiology & Control,Johns Hopkins University. Bloomberg School of Public Health,International Health,"Kosek, Margaret  N|Dowdy, David W|Sack, David A|Moulton, Lawrence H"
006,"Cormack, Brendan  P","Culbertson, Edward McLouth",2020-09-02,Characterizing Transition Metal Homeostasis at the Host-Pathogen Interface,Microbiology,Johns Hopkins University. Bloomberg School of Public Health,Biochemistry and Molecular Biology,"Wan, Fengyi|Culotta, Valeria C|Sullivan, David  J"
007,"Stephens, Walter E.","Zampini, Tania",2013-10-23,"Sole e Ombra: A Study of Sixteenth-Century Humourism and Grotesque Through the Works of Antonfrancesco Grazzini, l’Accademia degli Humidi, and l’Accademia degli Infiammati",Italian,Johns Hopkins University. Krieger School of Arts and Sciences,German and Romance Languages and Literatures,"Celenza, Christopher S.|McLucas, John|McGarry, Jean"
008,"Das, Veena","Mahadev, Neena",2013-10-25,Buddhist Nationalism and Christian Evangelism: Rearticulations of Enmity and Belonging in Postwar Sri Lanka,Anthropology,Johns Hopkins University. Krieger School of Arts and Sciences,Anthropology,"Khan, Naveeda|Guyer, Jane I.|Connolly, William E.|Kelly, John D."
009,"Shepard, Todd","Lori, Noora Anwar",2013-10-26,"Unsettling State: Non-Citizens, Citizenship and State Power in the United Arab Emirates",Political Science,Johns Hopkins University. Krieger School of Arts and Sciences,Political Science,"Hanchard, Michael|Chung, Erin|Tsai, Kellee S.|Vitalis, Robert"
001,"Silver, Beverly J.","Strayer, Michael McLachlan",2014-03-18,Playing Guns: Avant-Garde Aesthetics and Revolutionary Violence,Spanish,Johns Hopkins University. Krieger School of Arts and Sciences,German and Romance Languages and Literatures,"Obarrio, Juan M.|Paquette, Gabriel|Gonzalez, Eduardo|Egginton, William"
011,"Passey, Benjamin H.","Henkes, Gregory Arthur",2014-09-22,Carbonate clumped isotope geochemistry of marine mollusk and brachiopod shells and its application to deep-time paleoclimatology,Earth & Planetary Sciences,Johns Hopkins University. Krieger School of Arts and Sciences,Earth and Planetary Sciences,"Ferry, John M."
012,"Plank, Stephen B.","Reese, Michael Joseph",2014-10-17,Changing Course: The Influence of Social Position and Social Networks On College Faculty’s Adoption of Educational Innovations,Sociology,Johns Hopkins University. Krieger School of Arts and Sciences,Sociology,"Kargon, Robert H.|Bennett, Pamela R.|Hao, Lingxin|Falk, Michael L."
013,"Sverjensky, Dimitri A.","Estrada, Charlene Fae",2014-10-23,"Attachment, Selection, and Transformation of Prebiotic Molecules on Brucite [MgOH2] and the Implications for Chemical Evolution at Hydrothermal Systems",Earth & Planetary Sciences,Johns Hopkins University. Krieger School of Arts and Sciences,Earth and Planetary Sciences,"Hazen, Robert M.|Passey, Benjamin H.|Ferry, John M."
014,"Goldberg, David P.","McQuilken, Alison Carol",2014-10-23,Mononuclear Non-Heme Iron(II) Models of Metalloenzymes with Mixed N/S Donors: Small Molecule Activation,Chemistry,Johns Hopkins University. Krieger School of Arts and Sciences,Chemistry,"Karlin, Kenneth D.|Toscano, John P."
015,"Leheny, Robert L.","Allan, Daniel Brinton",2014-12-19,Interfacial Microrheology of Biological Films,Physics,Johns Hopkins University. Krieger School of Arts and Sciences,Physics and Astronomy,"Reich, Daniel H.|Stebe, Kathleen J.|Bevan, Michael A.|Robbins, Mark O."
016,"Spicer, James B.","Wang, Xing",2015-03-17,Asymptotic Behavior of Spectrums for Elliptic Pseudo-differential Operators,Mathematics,Johns Hopkins University. Krieger School of Arts and Sciences,Mathematics,"Sogge, Christopher D.|Lindblad, Hans|Dodson, Benjamin|Tchernyshyov, Oleg V."
017,"Stivers, James T.","Anderson, Breeana G.",2015-04-15,DNA Supercoil Unwinding by Variola Virus Type IB Topoisomerase is Accelerated by Superhelical Density and Hindered by Enzyme-DNA Interactions,Biochemistry,Johns Hopkins University. Krieger School of Arts and Sciences,Chemical Biology,"Berger, James M.|McMacken, Roger"
018,"Shiffman, Bernard","Zhu, Junyan",2015-06-22,Hole Probabilities of SU(m+1) Gaussian Random Polynomials,Mathematics,Johns Hopkins University. Krieger School of Arts and Sciences,Mathematics,"Spruck, Joel|Sogge, Christopher D.|Dagdigian, Paul J.|Turner, Ari"
019,"Egeth, Howard E.","Williams, Thomas Mackin",2015-07-06,"Great Powers and the Patterns of Internal War: Interests, Ideology, and Sovereignty",Political Science,Johns Hopkins University. Krieger School of Arts and Sciences,Political Science,"David, Steven R.|Deudney, Daniel H.|Allan, Bentley B.|Moss, Kenneth B."
002,"Woodson, Sarah","Quek, Bao Lin",2015-07-24,Characterization of retroviral RNA stability elements,Biology,Johns Hopkins University. Krieger School of Arts and Sciences,Biology,"Zappulla, David C.|Gall, Joseph G."
